"lon","lat"
78.5868,44.384
61.216667,50.466667
51.86,51.02
72.606111,51.077222
71.94,54.19
72.6356,48.7772
74.82056,48.42917
48.35775,49.590806
47.6566,49.7191
69.77,43.39
71.408,42.841
70.4105,42.3755
70.6,43.14
69.82,42.15
62.4142,53.8749
81.15,49.1
84.1416,49.2508
84.74,49.26
76.7332,52.3379
75.4572,53.3333
72.109,40.381
71.1627,42.5472
73.0096,41.1051
72.739271,41.028539
73,40.93
72.933,40.5387
72.8994,40.5752
72.8,40.51
73.1439,40.6882
72.0515,41.6875
74.67,42.88
75.54,41.09
76.0822,40.7916
58.25,38.26
72.0594978068553,40.258290674994
71.11,42.5
71.1601424436886,42.5482853455438
72.09286,41.67117
75.9051,41.1566
72.9792,40.3184
71.598,40.1542
76.2025733719736,41.2100072055057
72.100278,42.474722
66.6381249655073,39.66821396527
68.0168739690064,38.362204277713
68.7888150555275,40.3167343878409
70.576485,42.620438
61.2054320742979,53.0155111366514
75.4584153,53.3325963
62.614273,53.826958
72.63639,48.77724
74.7612085609721,48.4771521060323
74.9772130471774,46.8479258793426
84.7460480451777,49.2591007103704
72.6109598384977,51.0761328863898
66.4772337285437,51.6230925903298
